Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Urban Housing, Turin, Italy, Site plan",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1985.,Colored pencil on print,"41 x 47 1/4"" (104.1 x 120 cm)",Gift of the architect,216.1987,Architecture,Architecture & Design,1987-05-27,Y,270,https://www.moma.org/collection/works/270,https://www.moma.org/media/W1siZiIsIjUyNjcwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e141d587321dec14,,,,,104.1,,,120.0,,
"Row Housing, Pregassona, Switzerland, Elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1985,Colored pencil on print,"20 3/4 x 53 1/4"" (52.7 x 135.3 cm)",Gift of the architect,217.1987.1,Architecture,Architecture & Design,1987-05-27,Y,271,https://www.moma.org/collection/works/271,https://www.moma.org/media/W1siZiIsIjUyNjcwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f91a03ecdf88de1a,,,,,52.7,,,135.3,,
"Row Housing, project, Pregassona, Switzerland, Elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1985,Color pencil and graphite on diazotype,"20 3/4 x 53 1/4"" (52.7 x 135.3 cm)",Gift of the architect,218.1987.1,Architecture,Architecture & Design,1987-05-27,Y,272,https://www.moma.org/collection/works/272,https://www.moma.org/media/W1siZiIsIjUyNjcwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c886d8eeb862c3bb,,,,,52.7,,,135.3,,
"House, Morbio Inferiore, Switzerland, Elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1986.,Colored pencil on print,"36 1/2 x 58 1/8"" (92.7 x 147.6 cm)",Gift of the architect,219.1987.1,Architecture,Architecture & Design,1987-05-27,Y,273,https://www.moma.org/collection/works/273,https://www.moma.org/media/W1siZiIsIjUyNjcwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=64c339f549e7eef4,,,,,92.7,,,147.6,,
"House, Breganzona, Switzerland, Elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1984,Colored pencil on print,"46 3/8 x 58 1/2"" (117.8 x 148.6 cm)",Gift of the architect,220.1987,Architecture,Architecture & Design,1987-05-27,Y,274,https://www.moma.org/collection/works/274,https://www.moma.org/media/W1siZiIsIjIxMDc0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7933ec0d3df56187,,,,,117.8,,,148.6,,
"Gallery, Tokyo, Japan, Elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1985.,Colored pencil on print,"24 7/8 x 25"" (63.2 x 63.5 cm)",Gift of the architect,221.1987,Architecture,Architecture & Design,1987-05-27,Y,275,https://www.moma.org/collection/works/275,https://www.moma.org/media/W1siZiIsIjUyNjcxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d008b3f1102dbdb3,,,,,63.2,,,63.5,,
"Thyssen-Bornemisza Gallery, Lugano, Switzerland, Elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1986,Colored pencil on print,"23 1/2 x 43 1/4"" (59.7 x 109.9 cm)",Gift of the architect,222.1987,Architecture,Architecture & Design,1987-05-27,Y,276,https://www.moma.org/collection/works/276,https://www.moma.org/media/W1siZiIsIjUyNjcxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2e2c139f995e092d,,,,,59.7,,,109.9,,
"Urban Housing, Turin, Italy, Plan",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1985,Colored pencil on print,"16 3/8 x 15 1/4"" (41.6 x 38.7 cm)",Gift of the architect,223.1987,Architecture,Architecture & Design,1987-05-27,Y,277,https://www.moma.org/collection/works/277,https://www.moma.org/media/W1siZiIsIjUyNjcxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=47add424381ce9c1,,,,,41.6,,,38.7,,
"Urban Housing, Turin, Italy (Plan)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1985,Colored pencil on print,"16 3/8 x 15 1/4"" (41.6 x 38.7 cm)",Gift of Mario Botta,224.1987,Architecture,Architecture & Design,1987-05-27,Y,278,https://www.moma.org/collection/works/278,,,,,,41.5926,,,38.7351,,
"Urban Housing, Turin, Italy (Plan)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1985,Colored pencil on print,"16 3/8 x 15 1/4"" (41.6 x 38.7 cm)",Gift of Mario Botta,225.1987,Architecture,Architecture & Design,1987-05-27,Y,279,https://www.moma.org/collection/works/279,,,,,,41.5926,,,38.7351,,
"Library, Villeurbanne, France, Principal-facade elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1984,Colored pencil on print,"30 3/8 x 46 1/2"" (77.2 x 118.1 cm)",Gift of the architect,226.1987,Architecture,Architecture & Design,1987-05-27,Y,280,https://www.moma.org/collection/works/280,https://www.moma.org/media/W1siZiIsIjUyNjcxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=74bc63f46e4a3ecc,,,,,77.2,,,118.1,,
"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1984,Colored pencil on print,"30 3/8 x 46 1/2"" (77.2 x 118.1 cm)",Gift of the architect,227.1987,Architecture,Architecture & Design,1987-05-27,Y,281,https://www.moma.org/collection/works/281,https://www.moma.org/media/W1siZiIsIjUyNjcxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0fb7f897b92469c1,,,,,77.2,,,118.1,,
"San Francisco Museum of Modern Art, San Francisco, CA (Exterior perspective)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1996,China marker on paper,"16 1/2 x 23 1/2"" (41.9 x 59.7 cm)",Gift of the architect to Philip Johnson,353.1996,Architecture,Architecture & Design,1996-09-25,Y,355,https://www.moma.org/collection/works/355,,,,,,41.9101,,,59.6901,,
"San Francisco Museum of Modern Art, San Francisco, California, Exterior elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1994,Charcoal on paper,"20 x 28 3/4"" (50.8 x 73 cm)",Gift of the architect in honor of Lily Auchincloss,376.1994,Architecture,Architecture & Design,1994-09-21,Y,437,https://www.moma.org/collection/works/437,https://www.moma.org/media/W1siZiIsIjUyNzYxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ee89e70d01ce59f1,,,,,50.8,,,73.0,,
"House, Pregassona, Switzerland (Plan, preliminary sketch)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1979,Graphite on tracing paper,"11 1/2 x 12"" (29.2 x 30.5 cm)",Gift of the architect,431.1987,Architecture,Architecture & Design,1987-11-18,Y,629,https://www.moma.org/collection/works/629,,,,,,29.2,,,30.5,,
"House, Viganello, Switzerland (Plan, preliminary sketch)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1981–1982,Graphite on tracing paper,"12 1/4 x 22 1/8"" (31.8 x 56.2 cm)",Gift of the architect,432.1987,Architecture,Architecture & Design,1987-11-18,Y,631,https://www.moma.org/collection/works/631,,,,,,31.8,,,56.2,,
"House Morbio Superiore, Switzerland (Plan, preliminary sketch)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1982–1983,Graphite on tracing paper,"13 5/8 x 12 1/4"" (34.6 x 31.1 cm)",Gift of the architect,433.1987,Architecture,Architecture & Design,1987-11-18,Y,633,https://www.moma.org/collection/works/633,,,,,,34.6076,,,31.1151,,
"Urban Housing, Turin, Italy, Aerial perspective",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1985,Ink on paper,"35 1/4 x 35 7/8"" (89.5 x 91.1 cm)",Gift of the architect,434.1987,Architecture,Architecture & Design,1987-11-18,Y,635,https://www.moma.org/collection/works/635,https://www.moma.org/media/W1siZiIsIjUyNjc2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=69a0471eabc39dc2,,,,,89.5,,,91.1,,
"Thyssen-Bornemisza Gallery, Lugano, Switzerland, Perspective",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1986,Ink on paper,"43 1/2 x 43 1/2"" (110.5 x 110.5 cm)",Gift of the architect,435.1987,Architecture,Architecture & Design,1987-11-18,Y,637,https://www.moma.org/collection/works/637,https://www.moma.org/media/W1siZiIsIjUyNjc2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7b5d4dae8e0dd90f,,,,,110.5,,,110.5,,
"Cultural Center, Chambéry, France, Perspective",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),Unknown,Ink on paper,"29 3/8 x 40 1/2"" (74.6 x 102.9 cm)",Gift of the architect,436.1987,Architecture,Architecture & Design,1987-11-18,Y,639,https://www.moma.org/collection/works/639,https://www.moma.org/media/W1siZiIsIjUyNjc2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ff28989925ff10aa,,,,,74.6,,,102.9,,
"House, Massagno, Switzerland (Plan, preliminary sketch)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1979–1981,Graphite on tracing paper,"11 1/2 x 17 3/8"" (29.2 x 44.1 cm)",Gift of the architect,437.1987,Architecture,Architecture & Design,1987-11-18,Y,641,https://www.moma.org/collection/works/641,,,,,,29.2,,,44.1,,
"Charrette Submission for The Museum of Modern Art Expansion 1997, New York (Manhattan), New York, First Phase",Bernard Tschumi Architects,8057,(Swiss),(Swiss),(0),(0),(),1997,Mixed media,"11 x 17"" (28 x 43.2 cm) (approx.)",Gift of the architect,481.1997.1-129,Architecture,Architecture & Design,1997-10-17,N,684,,,,,,,28.0,,,43.2,,
"Banca del Gottardo, Lugano, Switzerland",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1982–1988,Basswood,"21 1/8 x 45 3/4 x 31 1/2"" (53.7 x 116.2 x 80 cm)",Gift of the Gotthard Bank,80.1989,Architecture,Architecture & Design,1989-05-16,Y,971,https://www.moma.org/collection/works/971,,,,80.0102,,53.6576,,,116.2052,,
"House, Breganoza, Switzerland",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(male),1984,Wood,"25 x 45 13/16 x 31 5/8"" (63.5 x 116.4 x 80.3 cm)",Marshall Cogan Purchase Fund,228.1987,Architecture,Architecture & Design,1987-05-27,Y,1000,https://www.moma.org/collection/works/1000,https://www.moma.org/media/W1siZiIsIjIyODg5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9fd6c7f73675ef12,,,80.3277,,63.5,,,116.364,,
Glass Bricks,Gustave Falconnier,24714,(Swiss),(Swiss),(0),(0),(male),1886,Blown glass,"Each: 7 3/4 x 5 3/8 x 4 1/2"" (19.7 x 13.7 x 11.4 cm)",Given anonymously,2308.2001.1-3,Design,Architecture & Design,2001-09-24,Y,1099,https://www.moma.org/collection/works/1099,https://www.moma.org/media/W1siZiIsIjYwMjYwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=36e5be6d76ae92b7,,,11.43,,19.685,,,13.6525,,
Tray,Unidentified Designer,6011,,(),(0),(0),(),Unknown,Glass,"2 1/8 x 11 3/4"" (5.4 x 29.9 cm)",Given anonymously,2309.2001,Design,Architecture & Design,2001-09-24,Y,1100,https://www.moma.org/collection/works/1100,https://www.moma.org/media/W1siZiIsIjIxMjA4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fee38e8636c51cd5,,,,29.9,5.3975,,,,,
Laboratory Glassware,Unidentified Designer,6011,,(),(0),(0),(),Unknown,Borosilicate glass,"6 x 3 x 1 1/2"" (15.2 x 7.6 x 3.8 cm)",Purchase,2310.2001,Design,Architecture & Design,2001-09-24,Y,1101,https://www.moma.org/collection/works/1101,https://www.moma.org/media/W1siZiIsIjUzMDUzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7e57a466b732b79c,,,3.8,,15.2,,,7.62,,
Weaving,Moik Schiele,5216,"(Swiss, 1938–1993)",(Swiss),(1938),(1993),(female),Before 1977,Cotton,"7 1/8 x 7"" (18.1 x 17.8 cm)",Gift of the designer,699.1977,Design,Architecture & Design,1977-03-21,Y,1394,https://www.moma.org/collection/works/1394,,,,,,18.0975,,,17.78,,
Dual edge (ryoba) saw,Unidentified Designer,7252,(Japanese),(Japanese),(0),(0),(),1950s,"Steel, wood, and bamboo","3/4 x 23 1/2 x 3 7/8"" (1.9 x 59.7 x 9.8 cm)",Gift of Garrett Wade Co.,16.1980,Design,Architecture & Design,1980-01-08,Y,1527,https://www.moma.org/collection/works/1527,https://www.moma.org/media/W1siZiIsIjIyNjUwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b13379b02be33a65,,,9.8,,1.9,,,59.7,,
Stacatto Printed Fabric,Yvonne Delattre,7330,(Swiss),(Swiss),(0),(0),(female),c. 1946,Cotton cretonne,"78 x 35 1/2"" (198.1 x 90.2 cm)",Given anonymously,466.1975,Design,Architecture & Design,,Y,1850,https://www.moma.org/collection/works/1850,,,,,,,198.1,,90.2,,
Drinking Cup,Unidentified Designer,6011,,(),(0),(0),(),c.1940,Plastic,"3 9/16 x 2 7/16"" (9 x 6.2 cm)",Purchase,57.1943,Design,Architecture & Design,1943-02-18,Y,1890,https://www.moma.org/collection/works/1890,https://www.moma.org/media/W1siZiIsIjUxNzU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=571c8a4115f3eac0,,,,6.1913,9.0,,,,,
Wall Hanging,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),1924,"Wool, silk, mercerized cotton, and metal thread","68 1/2 x 42 1/2"" (174 x 108 cm)",Phyllis B. Lambert Fund,75.1958,Design,Architecture & Design,1958-02-19,Y,1997,https://www.moma.org/collection/works/1997,https://www.moma.org/media/W1siZiIsIjUxODAxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=574db5dd3af5e760,,,,,173.9903479807,,,107.9502159004,,
Drapery Material,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),1926,Cotton and mercerized cotton,"9 1/2 x 4"" (24.1 x 10.2 cm)",Phyllis B. Lambert Fund,76.1958.1,Design,Architecture & Design,1958-02-19,Y,2002,https://www.moma.org/collection/works/2002,https://www.moma.org/media/W1siZiIsIjUxODAxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e8bd6c829968c5da,,,,,,24.1,,10.2,,
"Fabric Samples, Upholstery & Drapery",Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),1926-29,Fabric,,Phyllis B. Lambert Fund,76.1958.1-21,Design,Architecture & Design,1958-02-19,N,2003,,,,,,,,,,,,
Reversible Coat Material,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),1923-28,Wool and cotton,"8 x 6"" (20.3 x 15.2 cm)",Phyllis B. Lambert Fund,76.1958.10,Design,Architecture & Design,1958-02-19,Y,2004,https://www.moma.org/collection/works/2004,https://www.moma.org/media/W1siZiIsIjUxODAxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f913e00c9b1eb8d5,,,,,,20.3,,15.2,,
Suit Material,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),c.1925-28,"Wool, rayon, and cotton","11 1/2 x 7 3/4"" (29.2 x 19.7 cm)",Phyllis B. Lambert Fund,76.1958.11,Design,Architecture & Design,1958-02-19,Y,2005,https://www.moma.org/collection/works/2005,https://www.moma.org/media/W1siZiIsIjUxODAxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1ce1fc5a4b1fd4b1,,,,,,29.2,,19.7,,
Suit Material,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),c.1925-28,"Wool, rayon, and cotton","6 1/8 x 2 7/8"" (15.6 x 7.3 cm)",Phyllis B. Lambert Fund,76.1958.12,Design,Architecture & Design,1958-02-19,Y,2006,https://www.moma.org/collection/works/2006,https://www.moma.org/media/W1siZiIsIjIxMDE4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=93e33e37164eb692,,,,,,15.5575,,7.3025,,
Suit Material,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),c.1925-28,"Wool, rayon, and cotton","7 x 2 3/4"" (17.8 x 7 cm)",Phyllis B. Lambert Fund,76.1958.13,Design,Architecture & Design,1958-02-19,Y,2007,https://www.moma.org/collection/works/2007,https://www.moma.org/media/W1siZiIsIjUxODAyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4b677d9d18986d0a,,,,,,17.78,,6.985,,
Upholstery fabric for tubular steel chairs,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),1928,"Wool, cotton, and metal thread","6 x 5 7/8"" (15.2 x 14.9 cm)",Phyllis B. Lambert Fund,76.1958.14,Design,Architecture & Design,1958-02-19,Y,2008,https://www.moma.org/collection/works/2008,https://www.moma.org/media/W1siZiIsIjUxODAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d1ac58b3fa4d30fb,,,,,,15.2,,14.9,,
Upholstery fabric for tubular steel chairs,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),1928,Wool and cotton,"6 3/8 x 6"" (16.2 x 15.2 cm)",Phyllis B. Lambert Fund,76.1958.15,Design,Architecture & Design,1958-02-19,Y,2009,https://www.moma.org/collection/works/2009,https://www.moma.org/media/W1siZiIsIjUxODAyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=72115d94b233e0c5,,,,,,16.1925,,15.24,,
Upholstery fabric for tubular steel chairs,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),1928,"Wool, cotton, and rayon","5 x 5 1/2"" (12.7 x 14 cm)",Phyllis B. Lambert Fund,76.1958.16,Design,Architecture & Design,1958-02-19,Y,2010,https://www.moma.org/collection/works/2010,https://www.moma.org/media/W1siZiIsIjUxODAyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b694bd101a922484,,,,,,12.7,,14.0,,
Upholstery fabric for tubular steel chairs,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),(1897),(1983),(female),c. 1925,Wool and Eisengarn,"7 3/8 x 4 13/16"" (18.7 x 12.2 cm)",Phyllis B. Lambert Fund,76.1958.17,Design,Architecture & Design,1958-02-19,Y,2011,https://www.moma.org/collection/works/2011,https://www.moma.org/media/W1siZiIsIjUxODAyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7b8d6a64c0e75ee2,,,,,,18.7,,12.2,,
